
PAYLOAD__CHANNEL_ID,PAYLOAD__CHANNEL_TITLE,PAYLOAD__METRICS__CHANNEL_METRICS__VIEWS,PAYLOAD__METRICS__CHANNEL_METRICS__SUBSCRIBERS
UCz6s_ScG0PZThdwhKsUFSRw,DITRH,10160633,102000
UClWTBNGnjXEZOtEwEp9BGTg,"Flat Earth Sun, Moon & Zodiac Clock app",9959154,86800
UCnK3gIeVugsW_MzkG82pcUQ,UAP,9944492,60900
UCwDf5MzuhJlo7dtSPOlXkXA,Francis Higgins,9870885,105000
UCRVYss9AK2VcF9N1mVczi7g,Samnytt,9780807,32900
UCjz-4y6ts-VF2KSQX-jsnVg,NTD News,9682235,66600
UC93mqUPbNmHZhl4fAVvZWpQ,Anti Spiegel,9671832,131000
UCFJ2K2gUJJ1ecBU6Sxc3bCA,Gun Owners of America,9509054,143000
UCYdd0Qb4c9CmFDvBJ62oglQ,Aliesky Rodriguez TP,9488219,135000
UCgvPhmp59vQ88z77v4KpcOQ,Exister en Liberté,9404289,61500
UCrrixaOr-bEIxIP_J1UUnsg,Food Matters,9388859,52100
UCefDouqCBIVE5-B2vIiaDgw,JDhillon,8980737,58000
UCpN7cbz-W_dxZ5YdDcyzU0Q,Truth Talk At Verity Weekly ,8979174,33800
UCGeJFkzITCvgspePZPfngTw,9/11 True Crimes,8849438,20700
UCxAB39SRMVabVZEOKTo6iVA,mindbodygreen,8840867,119000
UCPWq5KOTNidU88wZmFBM2Qw,H H,8825647,3930
UCaOaiEf63XL_7cyaDLP1GiA,philippe jandrok,8797119,64200
UCdhBef7A9ilNrCmO8pf9LhA,Ummat Vox,8761122,32100
UC_j_vX_rkVWy8dJbjj37lcA,Nos Confunden,8714746,166000
UCQLSgJNHu32DO-v3LxPqATA,T6 Archives,8688549,63900
UChD-zWutIego-bcHKOatFWA,AMTV,8667613,679000
UCTqcKb3T1QVbOHT8LIFs3xg,Mark Passio,8540774,165000
UC_AWBLXyzNtmS4ixEcAvmuQ,Pause Cafein,8415694,20700
UCij5BjgH6WjDqOzB6UZZpjA,Bull Brand,8258201,17800
UCMGZ8pfQHgZ6Yj0-92PMENg,Real America's Voice,8253549,121000
UCMRs0Ml8RF0cWVAOeQeBxTw,The Jolly Heretic,7896824,84000
UCW_-o_GsOoW6gmmQZuyyjNw,Chnopfloch,7852987,77900
UCbPhNwYKd_iAVbvPa75u6rQ,كَشَّاف Kachaf,7632506,36600
UCWxTJ-zRHUHfP84jfbCvquA,Turtleboy Live,7498947,49100
UCWq53_f3zgMcWuE-XFKSpyQ,Bearing Arms' Cam & Co,7476236,269000
UCnF47ixgYcCQnu7IMit3A0g,Mystery Wire,7358026,45700
UC3JVrMzi2PGAqnbdKgq4BuQ,GLOBAL SPIRITUAL REVOLUTION MEDIA GROUP,7307794,119000
UCr9eziCDBtDANyWguKLr4vg,Epoch TV - Streaming the Truth,7287619,69300
UCyUPngKLxiB3xkUfHVDxGeg,FreedomProject Media,7118257,30500
UC-b7T1qnhUaCLClmrRg12YA,dmurphy25,6871069,69600
UCG6Zpr_CnDxASjeHyBHtQMw,Pierre Jovanovic - La Revue de Presse,6833165,92500
UCbf7dXJcvB53zoxvNblnlLQ,Center for Immigration Studies,6764967,24300
UC3s3FP43fBfHUH0rmpb5r4Q,AAPS Video,6651100,57900
UC-z8-coavUtGCa9RNlBADuA,ChaddSinclair,6565178,21600
UCQpPmkHntSHLyAgS1XGAgqA,Ascensão Planetária,6536699,105000
UCy6HF6TYSqEfiHOwtpX5y0w,Orbit - Beyond the Blue,6437756,52100
UCLBqkCCeC93Bf5R_100fBng,Karine Le Marchand,6350549,37800
UCNYHIPRt3QmzQXv1WPqyoEg,Creation Ministries International,6333879,46600
UCLTywN06xv2K8Wz1fSGQS_g,Вечерняя Москва,6253646,19300
UC5eyItTI4iIx0kVBcpyGpRw,maverickstar reloaded,6073569,59800
UC-1kRvh6hdyhpqkmmiciKtw,RED STONE ,5999949,256000
UCJvbA_ZCxTsNPb2oIfRQwUw,Greentext Animations,5898450,51400
UCmsFftOL2yNub8Z3CB0QKgA,Thoughts on Thinking,5823297,95000
UCpoZ2fGsc9iKNLubVJXSpqQ,Krazy Panda,5739211,4160
UClZhAJlC-oUFtsI6X1nUOiA,Martin Liedtke,5647384,62600
UCfeSDYrdwKD3Wf9JZhJvgRw,JW Tv,5627362,97200
UCFZ_2x_9yOTr_ed940RY4pA,Tales From Out There,5487716,23900
UC3qRYCKPYsxUlSetk7WJqKg,Erich von Däniken Official,5331657,130000
UCRk7uMJLm68va162_gEmJLA,NewsMaker,5210612,11500
UC6x4Ua-idK0qzy4YWOimO3g,Dangerous Ideas with Lee Camp,5182285,53800
UC-nDa6eoeSk8xeb5UnNVp5g,JihadWatchVideo,5178628,43400
UCa2gbBXGeGh-Pdtugdg_qcQ,The Western Journal,5140046,92000
UCF3UCTZiVg9wrIEzO7Om6jw,Mick West,5110011,48900
UCS_FY5mR4g22L_E9t1D_ExQ,jeranism,5080095,162000
UClO1l0P58Hi0Al3v8vRWmGw,klagemauerTV,5042762,123000
UCOKsAZ0DrWEZRxzLeHEcMFQ,End Time Headlines,4940535,65500
UC-6xx83XBwlIBuzI7D-WIcw,The Angry Bootneck,4932742,30900
UCDoiiV4ZS8wKU4S8bfp_nPA,GLOBAL News,4819750,205000
UC4unV5BVmWubfAF0Al_AVdw,SyrianGirlpartisan,4792696,95300
UCwC7VpIHS2uJzJ0q5I11oQA,The Healthy American Peggy Hall,4763693,181000
UCA_2oV10_uipWBWlyfJj16w,Матвей Ганапольский,4720248,87700
UCKUo5bltmJEZF_S-_YhRBbQ,Frauditor News Network,4661828,10800
UCj37lUdUVrSNarW4IB9vjZg,Le Jardin Des Livres,4616047,31600
UCS79wNddefi8mfjbG_bkkrA,Agora Moldova,4506864,9900
UC3VzutetC2ZpMU5AyakTb6Q,Martin Liedtke's Tartarian Channel. ,4267431,33300
UCmrLCXSDScliR7q8AxxjvXg,Black Pigeon Speaks,4184680,512000
UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad,4181250,871000
UCa3XPRHMpm0n0cJ9im3kbNA,Alex Collier Official,4081513,71000
UCkr3EyngKYzpKb366cP9NNQ,Экспресс газета,4073176,7680
UCrX1qnPmtbU2UbTlKuSq_7g,redrik11,4003072,8140
UCSDAWpftrPkMlGnqNl-Yafw,LevinTV,3942624,39100
UC1O3YetEF6B8B7-HMjWXR3Q,Christopher F. Rufo,3923377,53300
UC7BRAd6W3wx1ySm7VjhIBbg,Auron MacIntyre,3882863,35700
UCH2PLuQwGuY_Q9NvNng7Twg,Institute for Creation Research (ICR),3874630,35500
UCxGin_qxbd6kFFSfYkZKu2g,"Flat Earth, Banjo, USA, Japan and Brazil",3854156,30000
UCUphHL4R-WOdJ_OoQioYP6w,Tom Klingenstein ,3777385,83400
UC9FeyiPyDG92NkxXzZr98qg,Feed Your Mind 2,3649351,46300
UCka6Ue2xTqO27iAQRgtZwoQ,Diskusia na palete,3586249,14800
UCRL3XuGE_qmAHIyv0OHrSlw,Not By Sight News,3526095,14300
UCw8JTSl7MOe0mgTb4Tfkozw,LSNTV,3523015,32700
UCFJEbkWsS1v7xkCuD786Iiw,Pr. Henri Joyeux,3399706,101000
UCcgI4-HdktIoAaRLOPgY9qQ,Trend TV,3378449,13700
UCLA4Gej0kktw_Ehm6GHZWjQ,Lets Make It Viral LMIV,3095019,3390
UC9XP_Ax4_vTi1IqSSRD9ORQ,Megan Fox,3061550,25200
UCzUBKNqxSedgYiTOMCP4eQA,Jordan Maxwell Videos,3019121,115000
UCt6J-LE3g25VPn530Td8Ttw,The Clay Travis & Buck Sexton Show,3016685,37800
UC43XpPyF19lW2FxG8lAaF5g,The Secret Universe,2976436,148000
UCPMHvh9zY8SMRxPGA4Svrkw,Al Dostor News | الدستور الإلكتروني,2883531,184000
UCSxKBShys3kLEZJqJPS0WAg,Flat Earth Dave Interviews 2,2822758,24800
UCRRvPkqEdeu2Pjd52qfXTlA,Journey to Truth Podcast,2817188,47200
UC6V96rEBESaPrI0Z4aBoO2g,Pro Vita & Famiglia,2751827,18100
UCHkfBNFPJeEuc_OxBl-lJfQ,DesiFakes,2722481,8050
UCIFxvmtoGMb5wd-XLuqDJjQ,KLKNTV - Lincoln Channel 8 | Nebraska Now,2612128,5130
UC3FCKjZ4X77uJB7WSQfqk_g,Damoclès France,2595368,5450
UCtA5pirFR5OmuwEUv2vhdGg,The Werff Report,2537035,136000
UCTXg8Cr0craGg9fk99A5Yfg,TheAmericanTFP,2448375,9000
UCsWV8lbbglM7NCPpMhJ0v6w,Contribuables Associés,2443875,32100
UCkY8CvV8WQFe87CZGmvuYHA,No White Guilt,2426942,25400
UCnMkKH1AWrNWSvp7na1JQNQ,Kannadaprabha Online,2329541,10000
UCu93zN6Q_ygmzRcIa8elTTw,Typical Skeptic Podcast UfO PaRaNoRmAl pSi,2238864,15500
UCg67Ia4Q4lKFOJ-YMX81dLg,Ok Dakar,2235881,129000
UC8PhfAkkULRrojYDQ0_Dwuw,Catholic Conservative,1908179,1680
UCXIovaBdnA4UHdd-TZ-MqRg,GLOBEBUSTERS,1889427,73000
UC3Z5IVoNE5cP2kka5svUEBw,Taboo Conspiracy,1887978,30600
UC5got3hOa7xfX20-H-RczLA,Medhi Matthieu,1822427,45700
UC10MkHLwWeqADmF5i_wrW8Q,Manova,1800781,49300
UCRQYNaGQToOq8A3MiH_sMZA,VENEZUELA NEWS,1756456,169000
UCN7Hdc3Rb3YBMHwd_qi-DpQ,REALITY CHECK,1749290,37600
UC4nWV3nXtB7iGUM-3zR4BYg,Pachamama Flat,1675323,32600
UC6_HbozBCKSvWcSaEWy-Qew,Paranormal Spirituality,1576451,14300
UCEb8Jxw4AtBac5pbsToQEBw,Петербургский дневник,1521617,16400
UCad137RkJuE9PDhrMhwG-Yw,BFM,1396644,16400
UCayUE47WYhK5SHreprBhStA,OpIndia English,1308092,38500
UCgNngs0_WKadTmP_gsyEsAQ,Timcast Clips,1274693,22400
UCDoPuIvx88nh69fS5VJCNWg,Ciencia de Verdade,1099596,454000
UC_hZePAxxiT05OYhOqFWX5Q,Truthseeker2,1039381,6600
UCMU--mVsrZ3LE2T9zUBf-Zg,Flat Earth Dave Interviews,896268,17900
UCPu_2OBxoVEGADnCZ1n1bXg,Strajk.eu,736216,3080
UCzwAr7ne4CzL-DHpPcVN-PA,PKAHighlights,710806,166000
UCl49yaTf95CnN_w-Y3yY5fg,The NPC Show,705246,168000
UCIibK0GTXCaQCAamJAepm1g,ramzpaul,694731,73200
UCUK9GA3mt1fVKWj91wW7mfQ,Quillette,620827,13600
UC5uX3Yf59Z3xjHqjRzALzUw,Mr Peagan,590288,26800
UCtuNCZ7wy9CqGh0mKtDvDsQ,TVL - FORMAT COURT,563404,52400
UCdpOqS-Q7t2bUXudyUf6Byg,Libero Pensiero,521872,83900
UCyOMyeo5bznuFU1g-eLtEqg,Steve Mera Official,507117,237000
UCmXB3JIeDLZbI41qSmdC7TQ,Deepfakes Web,500418,1750
UCmp8JbhUWWySA9EphEJ42iA,Digital Player,492980,92800
UCnU3PEBWWDJ6o7TPV_JMcew,Robert Earl White / ORDER OF LIGHT,405046,13700
UCLjgaAnMxKEUBihAeuaudmw,What We Know,352632,66500
UCPHXtAKuUXPOwdEUzMgSD0A,Verdade Oculta,255797,505000
UCBPDd9cwg9r52VJvaA6VDJA,Epoch Times Türkiye,255625,3110
UCjn-HGXwDy9D6IZS0FJH2Sg,Red Pill News,224819,232000
UCKMbcwj7kQ3TwI4XWjbu_aw,The Dimming,215395,9930
UCka_CL7uJJthyJt3ovloWWA,BizPac Review,201473,267000
UC2DUoAVumA-haKSmtbimPTw,The Political Playbook,157642,1510
UCFarbTUeBTfEu5HB3qhLdCg,bigpzone,,
UCpwvZwUam-URkxB7g4USKpg,RT,,
UCXNCizpfwx4_ETssjXWPmqQ,Мир 24,,
