
PAYLOAD__CHANNEL_ID,PAYLOAD__CHANNEL_TITLE,PAYLOAD__METRICS__CHANNEL_METRICS__VIEWS,PAYLOAD__METRICS__CHANNEL_METRICS__SUBSCRIBERS
UClDAdF7QCpKHLrE3F_VZjrg,Huckabee on TBN,214095579,1000000
UCO3pO3ykAUybrjv3RBbXEHw,郭文贵,211006629,456000
UCgtp61tf9tYF7nG_gIQ94LQ,Dr. Josh Axe,208960710,2230000
UCdbeep4P2J9JErLw5cG0GJA,Arun Surya Teja,208291085,1710000
UCAk-SBMZp79a4k2CAqqoDLQ,大紀元新聞網,207886680,340000
UC5fno9H5sK97fLg7RTdZpJg,Guns & Gadgets 2nd Amendment News,205942880,673000
UClt01z1wHHT7c5lKcU8pxRQ,hbomberguy,202107829,1610000
UCdXfEfd8eqyd4ZpRaxLwy3g,UFOmania - The truth is out there,196359030,442000
UCOpzwVUNsep7FpN5687XYEA,Sci-Fi Central,194325872,951000
UCP5gBSMw84NLljMLNqa09sQ,Ryan Kinel - RK Outpost,191305744,291000
UC__xRB5L4toU9yYawt_lIKg,"BLAST, Le souffle de l'info",188366615,961000
UCTRVokBibHyfBnKLwUr7AJQ,VetogateOfficial - بوابة فيتو,181013468,479000
UCC9JHVPm-4P5QDp9vk8EH-A,Mystery History,179156449,577000
UCRtsZ5Iak9wSLsQLQ3XOAeA,SciManDan,178971207,516000
UCtvU8QAYnxFGCH7v9-dUOYw,Tv Musavat,177076404,319000
UC8GAOCAJxBL4bExaUCvwL4Q,Dinesh D'Souza,175402832,758000
UChaPw6EsZPHaZib8pOR-12w,StickPage Studios,174823621,278000
UCAUHoE2Ykw0sguyi5AjhrjQ,Rudaw Media Network,173792667,389000
UCL0u5uz7KZ9q-pe-VC8TY-w,Candace Owens,168367763,1410000
UCBcQhGAozCQ2ubnvMqMO1AA,Wicca Escuela De La MAGIA,162860915,564000
UCWj9zYsPkotQFSJNK4g4vnQ,The United Spot,155971487,310000
UCFVqzO9_qHVckKqNC95o9tw,Gaia,154377147,1620000
UCXu3Qcw018ZNU0qJ3hVn9mQ,JosiahRises,152349083,351000
UCr6kvYso2Zlf-e5aZpthLGw,RussiaPost,152201767,278000
UC-jlxuVAVEl2PXTaGno7gSA,SJWCentral,150269742,298000
UCfaIu2jO-fppCQV_lchCRIQ,Charlie Kirk,150267067,1310000
UCN98LE3TS8BTZUZYC3uEX8A,Hailey Reese,149809767,1120000
UCkdiBNdMSiQeT8aD7gXWgvA,Anything Goes With James English,149656238,580000
UCWI70VlhoBiCvhmDMQle9UA,Vicente Fuentes,148660999,648000
UCFjOi1ZpZVErr8EYxg8t1dQ,DAHBOO77,148560796,515000
UCwpDBy43upJR7LZLrgnKkPA,"Don't Walk, Run! Productions",147029624,619000
UCT8RMFbTJV5ILaVykrluOQg,Hi China,144854144,351000
UC9SqppNMkijU0fCJRDDg9YA,Подробиці,144605518,237000
UCZYqWTQJzJaMW7jFG16p8ug,LAB 360,143101763,704000
UCyamXi0qEQJghCjJbj__aWQ,Chaîne officielle TVL,140175330,722000
UCdeMVChrumySxV9N1w0Au-w,The Duran,138668103,387000
UCX17igkZ9JhU64JoTBVSWeQ,Church Militant,138065741,319000
UCIvqcSPbzQBynjq230v9_yw,EL ESPAÑOL,137306365,222000
UCa3C7WpFobavsDJdkKUtodw,Behold Israel with Amir Tsarfati,136250666,835000
UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,133956211,445000
UCvlj0IzjSnNoduQF0l3VGng,Some More News,133029316,831000
UCQa62kyOcsyhVUqyvRCbDNQ,Robert Gouveia Esq.,128452435,305000
UCGDaOZg2INC0Qg2Z203F1dA,Judicial Watch,125169162,533000
UCYElmr7ehQmsiwtOMUkOuGw,Yohanan Díaz Vargas I Reportero e Investigador,124859088,586000
UCCD4-G3Aokt2sM7TYQV2HmA,Bedtime Stories,122130024,883000
UCyhEZKz-LOwgktptEOh6_Iw,Andrew Klavan,120646184,479000
UCnIWNujSpiiuH29-TBCz9aw,VA Plus,120021305,412000
UCmbm72l60p3OH4aL4o7BFeA,Turning Point UK,116293368,230000
UCeCV-XNeZIoHiCGfNYCLh9Q,Sandman,115275952,205000
UCThv5tYUVaG4ZPA3p6EXZbQ,GoldSilver (w/ Mike Maloney),114975572,737000
UCYJyrEdlwxUu7UwtFS6jA_Q,Unveiled,114764809,935000
UC0RJJ_Wm7jyOU9eY10LgcwA,AdamKokesh,114190144,257000
UCNROLKAEQSNYWeOIiVXdj7g,L'astucerie,113573964,545000
UCgvFsn6bRKqND1cW3HpzDrA,COMPACTTV,110648808,272000
UCqOmJO0ptmmHrsOnR3oPtTA,World Of Stars,109874584,326000
UCicvc24eAbFp-thRrBnSP2A,Answers in Genesis,109294459,667000
UCVcxJ9k14bi__-uA1cGkEcA,Theoria Apophasis,108527110,305000
UCwGpHa6rMLjSSCBlckm5khw,Alexander Mercouris,108512360,250000
